max_features,n_population,n_generations,accuracy,precision,recall
4000,100,10,0.83,0.8,0.8181818181818182
5000,100,1000,0.85,0.8222222222222222,0.8409090909090909
5000,200,500,0.85,0.8372093023255814,0.8181818181818182
5000,500,200,0.88,0.8809523809523809,0.8409090909090909
5000,1000,100,0.87,0.8780487804878049,0.8181818181818182
5000,200,50,0.83,0.8292682926829268,0.7727272727272727
5000,100,100,0.86,0.8409090909090909,0.8409090909090909
5000,50,200,0.84,0.8043478260869565,0.8409090909090909
5000,10,100,0.87,0.8444444444444444,0.8636363636363636
5000,20,50,0.85,0.8372093023255814,0.8181818181818182
5000,50,20,0.86,0.8260869565217391,0.8636363636363636
5000,100,10,0.86,0.8125,0.8863636363636364
6000,100,1000,0.86,0.8260869565217391,0.8636363636363636
6000,200,500,0.83,0.8,0.8181818181818182
6000,500,200,0.87,0.8780487804878049,0.8181818181818182
6000,1000,100,0.85,0.8222222222222222,0.8409090909090909
6000,200,50,0.85,0.8372093023255814,0.8181818181818182
6000,100,100,0.82,0.782608695652174,0.8181818181818182
6000,50,200,0.85,0.8372093023255814,0.8181818181818182
6000,10,100,0.85,0.8717948717948718,0.7727272727272727
6000,20,50,0.86,0.8409090909090909,0.8409090909090909
6000,50,20,0.82,0.7708333333333334,0.8409090909090909
6000,100,10,0.83,0.7872340425531915,0.8409090909090909
7000,100,1000,0.84,0.8043478260869565,0.8409090909090909
7000,200,500,0.87,0.8780487804878049,0.8181818181818182
7000,500,200,0.86,0.8260869565217391,0.8636363636363636
7000,1000,100,0.86,0.8409090909090909,0.8409090909090909
7000,200,50,0.83,0.7872340425531915,0.8409090909090909
7000,100,100,0.87,0.8780487804878049,0.8181818181818182
7000,50,200,0.85,0.8372093023255814,0.8181818181818182
7000,10,100,0.84,0.8181818181818182,0.8181818181818182
7000,20,50,0.85,0.8222222222222222,0.8409090909090909
7000,50,20,0.83,0.7872340425531915,0.8409090909090909
7000,100,10,0.85,0.8085106382978723,0.8636363636363636
8000,100,1000,0.84,0.8181818181818182,0.8181818181818182
8000,200,500,0.83,0.7755102040816326,0.8636363636363636
8000,500,200,0.77,0.7560975609756098,0.7045454545454546
8000,1000,100,0.89,0.9024390243902439,0.8409090909090909
8000,200,50,0.84,0.7916666666666666,0.8636363636363636
8000,100,100,0.85,0.8085106382978723,0.8636363636363636
8000,50,200,0.87,0.8604651162790697,0.8409090909090909
8000,10,100,0.85,0.8222222222222222,0.8409090909090909
8000,20,50,0.84,0.8181818181818182,0.8181818181818182
8000,50,20,0.85,0.8372093023255814,0.8181818181818182
8000,100,10,0.9,0.9047619047619048,0.8636363636363636
9000,100,1000,0.84,0.8043478260869565,0.8409090909090909
9000,200,500,0.84,0.8181818181818182,0.8181818181818182
9000,500,200,0.86,0.8260869565217391,0.8636363636363636
9000,1000,100,0.88,0.8636363636363636,0.8636363636363636
9000,200,50,0.84,0.8181818181818182,0.8181818181818182
9000,100,100,0.84,0.85,0.7727272727272727
9000,50,200,0.85,0.8222222222222222,0.8409090909090909
9000,10,100,0.84,0.8043478260869565,0.8409090909090909
9000,20,50,0.86,0.8409090909090909,0.8409090909090909
9000,50,20,0.88,0.8636363636363636,0.8636363636363636
9000,100,10,0.86,0.8409090909090909,0.8409090909090909
None,100,1000,0.86,0.8409090909090909,0.8409090909090909
None,200,500,0.83,0.7872340425531915,0.8409090909090909
None,500,200,0.89,0.8666666666666667,0.8863636363636364
None,1000,100,0.88,0.8809523809523809,0.8409090909090909
None,200,50,0.86,0.8571428571428571,0.8181818181818182
None,100,100,0.89,0.8666666666666667,0.8863636363636364
None,50,200,0.86,0.8409090909090909,0.8409090909090909
None,10,100,0.86,0.8260869565217391,0.8636363636363636
None,20,50,0.85,0.8222222222222222,0.8409090909090909
None,50,20,0.84,0.7916666666666666,0.8636363636363636
None,100,10,0.85,0.8222222222222222,0.8409090909090909
